Date,Occupancy,Arrivals,Departures,Presences,Revenue,RevPar,ADR
01/01/14,102,44,270,242,22618.28,123.6,275.83
02/01/14,66,19,99,162,15239.42,83.28,267.36
03/01/14,82,67,55,174,15890.65,87.79,217.68
04/01/14,91,44,55,163,15373.04,84.93,194.6
05/01/14,88,6,16,153,12089.95,66.8,155.0
06/01/14,23,1,114,40,3945.13,21.8,232.07
07/01/14,98,99,25,114,11642.91,64.33,126.55
08/01/14,8,4,104,14,940.5,5.23,313.5
09/01/14,9,6,4,16,852.32,4.79,284.11
10/01/14,7,0,3,13,852.32,4.79,284.11
11/01/14,102,108,0,121,8699.77,49.15,91.58
12/01/14,4,0,116,5,-54.55,-0.31,0.0
13/01/14,4,0,0,5,0.0,0,0.0
14/01/14,4,0,0,5,0.0,0,0.0
15/01/14,4,0,0,5,-1501.02,-8.34,0.0
16/01/14,4,0,0,5,0.0,0,0.0
17/01/14,4,0,0,5,104.0,0.57,0.0
18/01/14,4,0,0,5,0.0,0,0.0
19/01/14,4,0,0,5,0.0,0,0.0
20/01/14,4,0,0,5,-442.91,-2.47,0.0
21/01/14,5,1,0,6,0.0,0,0.0
22/01/14,5,0,0,6,0.0,0,0.0
23/01/14,9,8,1,13,569.09,3.18,113.82
24/01/14,44,51,3,61,5391.32,29.95,134.78
25/01/14,26,35,43,53,3888.0,21.48,176.73
26/01/14,9,2,36,19,1005.45,5.55,201.09
27/01/14,9,4,9,14,649.09,3.59,129.82
28/01/14,7,0,4,10,-309.31,-1.72,-103.1
29/01/14,8,3,2,11,391.27,2.17,130.42
30/01/14,8,2,1,12,468.36,2.6,117.09
31/01/14,15,14,5,21,563.64,3.13,51.24
01/02/14,28,34,2,53,2628.18,14.36,114.27
02/02/14,8,3,45,11,256.0,1.4,128.0
03/02/14,9,5,4,12,338.18,1.84,112.73
04/02/14,11,2,0,14,338.18,1.84,112.73
05/02/14,9,1,3,12,306.18,1.67,102.06
06/02/14,10,7,4,15,542.84,3,108.57
07/02/14,44,48,4,59,1436.65,7.98,143.67
08/02/14,123,194,9,244,11522.65,65.84,138.83
09/02/14,12,0,223,21,727.45,4.04,103.92
10/02/14,10,0,4,17,736.73,4.09,147.35
11/02/14,7,4,10,11,405.82,2.22,135.27
12/02/14,10,7,2,16,787.27,4.3,131.21
13/02/14,14,11,5,22,1012.0,5.56,144.57
14/02/14,52,88,7,103,6841.27,37.59,148.72
15/02/14,67,70,36,137,9415.45,51.73,156.92
16/02/14,154,258,94,301,19660.72,108.62,132.84
17/02/14,138,16,51,266,17622.54,96.3,134.52
18/02/14,9,1,253,14,619.64,3.39,309.82
19/02/14,10,6,4,16,482.36,2.65,160.79
20/02/14,15,15,7,24,1558.09,8.51,129.84
21/02/14,41,47,5,66,4455.73,24.48,117.26
22/02/14,52,44,17,93,6430.96,36.33,131.24
23/02/14,26,22,69,46,2679.98,15.14,121.82
24/02/14,13,4,26,24,743.64,4.18,74.36
25/02/14,28,21,3,42,2206.0,12.32,91.92
26/02/14,22,12,15,39,1504.18,8.4,79.17
27/02/14,34,34,15,58,2235.45,12.49,77.08
28/02/14,47,39,16,81,14382.25,80.35,350.79
01/03/14,66,46,6,121,5975.86,33.57,96.38
02/03/14,43,14,57,78,3275.32,18.3,83.98
03/03/14,44,14,9,83,3709.09,21.56,97.61
04/03/14,61,46,36,93,6235.09,36.04,117.64
05/03/14,30,14,53,54,2375.0,13.81,113.1
06/03/14,76,69,16,107,9159.09,51.17,130.84
07/03/14,79,31,23,115,9382.92,52.42,128.53
08/03/14,57,43,44,114,5731.1,32.56,124.59
09/03/14,53,30,48,96,4032.55,22.91,100.81
10/03/14,39,20,51,65,2846.19,16.17,88.94
11/03/14,33,6,17,54,2727.73,15.59,97.42
12/03/14,33,5,4,55,2811.92,16.16,96.96
13/03/14,39,12,1,66,3294.83,18.83,102.96
14/03/14,64,62,11,117,6089.11,34.99,112.76
15/03/14,56,40,44,113,6091.47,34.81,132.42
16/03/14,22,13,86,40,1960.65,11.2,115.33
17/03/14,15,2,14,28,1137.56,6.5,103.41
18/03/14,20,14,7,35,1442.65,8.24,110.97
19/03/14,22,18,9,44,1974.84,11.28,141.06
20/03/14,43,36,6,74,3585.02,21.34,119.5
21/03/14,58,42,10,106,5256.42,29.87,122.24
22/03/14,148,261,18,349,20010.56,115.67,153.93
23/03/14,43,31,303,77,3483.83,20.14,102.47
24/03/14,37,11,22,66,3110.78,18.3,107.27
25/03/14,36,7,11,62,3308.75,19.69,114.09
26/03/14,36,15,17,60,3041.51,17.89,116.98
27/03/14,45,20,11,69,3023.46,17.79,81.72
28/03/14,58,39,17,91,5705.76,33.56,121.4
29/03/14,78,69,22,138,10046.24,59.1,152.22
30/03/14,50,28,82,84,7517.29,44.75,170.85
31/03/14,99,65,9,140,16613.5,98.3,182.57
01/04/14,100,53,59,134,17553.37,103.26,186.74
02/04/14,92,51,57,128,16278.85,95.76,189.29
03/04/14,96,53,46,135,16628.03,97.24,184.76
04/04/14,114,38,4,169,19179.08,116.95,177.58
05/04/14,111,83,61,191,18955.65,109.57,185.84
06/04/14,90,8,51,148,15775.62,91.19,192.39
07/04/14,100,56,53,151,18667.92,107.91,198.59
08/04/14,104,55,50,156,20751.21,117.24,211.75
09/04/14,159,198,28,326,44080.43,249.04,284.39
10/04/14,154,41,48,319,44545.75,251.67,296.97
11/04/14,146,5,18,306,42473.44,239.96,301.23
12/04/14,110,41,65,282,35100.46,197.19,337.5
13/04/14,54,82,235,129,9755.06,54.8,203.23
14/04/14,68,63,26,166,12494.48,74.37,204.83
15/04/14,71,34,19,181,13906.65,79.02,220.74
16/04/14,80,44,18,207,16085.55,91.4,229.79
17/04/14,99,105,32,280,23858.59,139.52,265.1
18/04/14,138,151,29,402,60926.16,348.15,472.3
19/04/14,149,82,47,437,57988.04,335.19,414.2
20/04/14,140,31,56,412,53753.29,312.52,413.49
21/04/14,91,37,184,265,36386.78,210.33,438.39
22/04/14,67,43,108,200,38578.1,217.96,642.97
23/04/14,65,28,33,195,26088.24,149.93,457.69
24/04/14,95,99,25,269,38286.14,220.04,461.28
25/04/14,124,111,34,346,38425.23,223.4,355.79
26/04/14,125,68,92,322,38738.94,227.88,379.79
27/04/14,70,22,178,166,17710.48,104.18,354.21
28/04/14,123,111,71,206,26825.6,157.8,237.39
29/04/14,112,20,31,195,25399.12,151.19,241.9
30/04/14,100,121,70,246,30797.26,182.23,334.75
01/05/14,140,127,30,343,51539.36,304.97,396.46
02/05/14,142,42,25,360,52565.95,312.89,395.23
03/05/14,128,45,82,323,39569.45,230.05,332.52
04/05/14,61,38,201,160,19045.45,110.73,373.44
05/05/14,58,26,35,151,17907.7,107.88,373.08
06/05/14,67,25,14,162,19247.45,112.56,377.4
07/05/14,68,21,24,159,18215.9,106.53,364.32
08/05/14,79,52,40,171,19309.05,112.92,311.44
09/05/14,97,49,36,184,24954.59,145.93,297.08
10/05/14,97,43,43,184,26765.81,159.32,297.4
11/05/14,77,40,86,138,15689.36,101.22,220.98
12/05/14,100,51,28,161,24744.62,149.06,263.24
13/05/14,97,28,35,154,23365.31,139.91,268.57
14/05/14,51,13,64,103,10550.16,68.96,251.19
15/05/14,46,32,34,101,8967.69,53.7,218.72
16/05/14,149,175,9,267,35455.61,209.8,249.69
17/05/14,146,40,34,273,37158.39,222.51,267.33
18/05/14,79,70,187,156,21853.29,128.55,303.52
19/05/14,144,110,10,256,44705.6,255.46,326.32
20/05/14,126,7,37,226,42671.55,242.45,361.62
21/05/14,65,66,152,140,23754.75,134.97,409.56
22/05/14,157,209,5,344,60355.08,333.45,407.8
23/05/14,175,69,18,395,69283.24,382.78,412.4
24/05/14,177,78,50,423,77606.74,431.15,451.2
25/05/14,85,56,263,216,32820.42,180.33,426.24
26/05/14,92,84,54,246,36808.23,203.36,454.42
27/05/14,136,69,14,301,39126.5,214.98,320.71
28/05/14,139,58,53,306,45596.08,251.91,370.7
29/05/14,133,73,49,330,46666.41,286.3,382.51
30/05/14,154,166,58,438,60721.15,370.25,415.9
31/05/14,163,101,89,450,60344.18,339.01,391.85
01/06/14,153,77,141,386,53871.69,296,379.38
02/06/14,76,17,217,186,24623.15,134.55,346.8
03/06/14,71,23,39,170,36143.61,200.8,539.46
04/06/14,87,61,22,209,33372.53,186.44,406.98
05/06/14,145,195,51,353,57724.36,331.75,412.32
06/06/14,172,236,175,414,74208.49,419.26,436.52
07/06/14,175,57,36,435,88051.48,491.91,511.93
08/06/14,149,39,96,378,60142.25,330.45,414.77
09/06/14,73,51,236,193,33645.74,184.87,502.18
10/06/14,85,46,23,216,36536.46,199.65,451.07
11/06/14,103,80,46,250,47827.5,264.24,483.11
12/06/14,116,70,44,276,50555.63,276.26,439.61
13/06/14,177,155,48,383,78248.16,432.31,442.08
14/06/14,167,51,68,366,74816.23,420.32,448.0
15/06/14,99,137,230,273,37298.77,213.14,392.62
16/06/14,115,51,18,306,42928.43,255.53,390.26
17/06/14,106,31,38,299,44006.96,241.8,440.07
18/06/14,106,35,37,297,47088.01,258.73,480.49
19/06/14,123,89,68,318,55226.76,305.12,476.09
20/06/14,170,165,58,425,82830.43,467.97,490.12
21/06/14,171,66,50,441,87326.4,482.47,519.8
22/06/14,118,134,240,335,62000.43,346.37,548.68
23/06/14,123,84,57,362,65065.41,369.69,556.11
24/06/14,136,65,53,374,64504.06,356.38,503.94
25/06/14,135,51,59,366,62445.51,356.83,476.68
26/06/14,123,46,46,366,60187.42,332.53,505.78
27/06/14,138,122,55,433,68538.01,378.66,507.69
28/06/14,180,192,97,528,81935.35,450.19,460.31
29/06/14,137,62,191,399,63963.66,355.35,480.93
30/06/14,107,46,140,305,50741.49,278.8,497.47
01/07/14,107,58,55,308,57032.83,315.1,564.68
02/07/14,117,76,71,313,63391.74,348.31,551.23
03/07/14,167,292,169,436,130862.53,711.21,793.11
04/07/14,170,30,26,440,132165.6,726.18,782.04
05/07/14,179,71,27,484,139803.67,776.69,789.85
06/07/14,121,195,305,374,73702.76,409.46,629.94
07/07/14,137,117,66,425,96802.5,531.88,738.95
08/07/14,141,46,17,454,100879.67,557.35,736.35
09/07/14,140,50,50,454,104317.73,573.17,772.72
10/07/14,146,60,47,467,138417.93,756.38,1010.35
11/07/14,179,92,45,514,119771.62,654.49,692.32
12/07/14,175,101,118,497,106508.96,582.02,619.24
13/07/14,146,78,124,451,97574.44,539.09,687.14
14/07/14,158,112,76,487,107754.74,588.82,686.34
15/07/14,159,35,38,484,104361.96,573.42,682.1
16/07/14,159,50,49,485,97955.43,535.28,661.86
17/07/14,160,86,63,508,109554.98,598.66,693.39
18/07/14,170,66,34,540,111008.72,616.72,656.86
19/07/14,170,86,93,533,116542.69,633.38,697.86
20/07/14,169,91,99,525,111550.57,609.57,676.06
21/07/14,161,77,113,489,104826.24,575.97,680.69
22/07/14,166,56,46,499,110003.85,604.42,691.85
23/07/14,171,95,81,513,112354.57,613.96,680.94
24/07/14,174,39,29,523,113590.35,617.34,676.13
25/07/14,175,29,21,531,99176.35,539,583.39
26/07/14,183,108,81,558,119485.07,649.38,671.26
27/07/14,176,55,70,543,117128.65,636.57,680.98
28/07/14,169,60,78,525,114233.58,620.83,696.55
